asset,address,amount
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xECB201475Da2315116e053f5bb68C7eb5CA0D3eC,4800000000
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x791e35Da7E54d3675b734e53b9827Dc8De37da39,750000000
0xdAC17F958D2ee523a2206206994597C13D831ec7,0x86E9DcffE88f45989C5468Ae4E76e42D7a7b6916,19800000000
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x5549Efa31AD2433A4E96A39E1360FCadB686bE45,300000000
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xB4002a0C94D8A3a57d341313757e4D8603c105D5,57140680355034088
0xdAC17F958D2ee523a2206206994597C13D831ec7,0x625A92D80af77dCAB70323fC4668d9B90862CF55,450000000
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xea9991aCEe7D9d56F591947177d1bCd23A8f894A,1500000000
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x60ecadC9fa4D4938f554954ec6DA578EBe191481,57140680355034088
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xdb6C18087cB71164f9B47981d684E68C697b319e,856858869631779200
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x8BdaB88305784De6c51B36A3f350a25F1b7A153a,1199602417484490752
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x726244E62AcCe22bBdF25CDF30c7463640a1cC31,1500000000
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xBfE3301AeDe37E363C230c516E217c46463664a6,150000000
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xe5afcDc4Ca275b1d4C0E27DA499B329EF2AcD82F,56864491915764728
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xb9274b3078609B21f2Be02Fa0CDb34488C31E3dB,56864491915764728
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xCC34B5E2CCc0B4F54AE11a4c290FcBE9d9E32C5a,7500000000
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xB9b8EF61b7851276B0239757A039d54a23804CBb,4280952235988919296
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x0688E4D3fF808875Fd590F52a378bD39F173246B,114247849284237232
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x726244E62AcCe22bBdF25CDF30c7463640a1cC31,284314914781342912
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xdb6C18087cB71164f9B47981d684E68C697b319e,450000000
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xCC34B5E2CCc0B4F54AE11a4c290FcBE9d9E32C5a,17550000000
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xFDAf74E0E2b4Cb9765f3a2df4b256fAb0703F876,682355795475222912
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x64154cB239716bbAB07Cf25c1B112e9f847f8878,450000000
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xb5A44dE74e3F61C61641abfe5b0dAf221417e109,1023533693212834432
