user,asset,total_amount
0x00afCaD49410872db132A7c44353d96812B432A7,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,67290826465930656
0x00BD383fc8C258363890CE8785F0E09F2057D113,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,150000000
0x00C0AE5C3685b4023881342C951fbe19BbAbC9Bc,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,381396565251503808
0x00D63557A0476D4dE12956BC9E8EC328b7CaC197,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,150000000
0x00FC2B542Ec0F5A7eaa3f348b842Be0628BEc2a6,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,66683856282952936
0x0115F9f0E6a8dBAA366b3CBb903E7E5d76e0e269,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,150000000
0x011aFaE14054EBd22500E977541639ceC3c3c387,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,450000000
0x011bB7c19C4FF8F48cEd634e1E84d2ED5E2e7590,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,60463391431934344
0x013D9fF1e41557c6e15B0908500Fdc45759885e3,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,1058615625014360480
0x0147A2D38AcC12B88432F49B9A1dAc86f6793220,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,713225
0x0147A2D38AcC12B88432F49B9A1dAc86f6793220,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,1148769476429164928
0x015366C577C4a858f79547c7D6262A77956804D4,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,2850000000
0x01788e63E54d738F0DAC036DE1392284d467897F,0xdAC17F958D2ee523a2206206994597C13D831ec7,150000000
0x019E6e3c42EFBc3C39601aC86dE202c0B0D0A9Cb,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,150000000
0x01B065EF55D91686920D14F80955f61D35cA8d3C,0xdAC17F958D2ee523a2206206994597C13D831ec7,150000000
0x01c0FEEe3b98E1C71F074D0DC88a732f23acF475,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,721266544051354112
0x01d3627297EA2Ef789cF9d5087fa19A338BB1c8c,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,86700000000
0x01d3627297EA2Ef789cF9d5087fa19A338BB1c8c,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,225403754475203712
0x01D92acf6eA23892b056418738F3816f5396c4eB,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,61849038865936024
0x0216A853360deaf8dd3f8DDcc3187DaAfe112686,0xdAC17F958D2ee523a2206206994597C13D831ec7,1050000000
0x0223F8ea7C227821F0F2f0a23A03923967ba4Bf7,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,150000000
0x0263E43c0dE253a0fe354b60d35D2855c514a887,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,620075566542375936
0x027CC9f1Ee460e520BB6D3248c4cbAe364040061,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,13275627412774916096
0x0290e9cE53972B7a9cC59cCc11224DfB16612271,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,300000000
0x02bbbA63752E87850467D77e1507EA88cacd33A1,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,750000000
0x02ddF94cd67f436ECA466b84788Af6C6dffB82E5,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,89100000000
0x02eF8147E2D0997cCA48d99f01bAD846D16558fa,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,150000000
0x02eF8147E2D0997cCA48d99f01bAD846D16558fa,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,3745104613255529984
0x02f0cd71e8478bf2eD63ee93496b35a76a8F6AeA,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,1500000000
0x02F15d128DDBadc5377E01DAe4f6421b22E11281,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,450000000
0x02F73B8e29dD6Ec38Bc5D8B3826051DC562c3060,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,1135128
0x02f8a8a0fF36cd0eB55F00120A50101441B598C8,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,113986526792533120
0x0317c78426ADA576A71527A7e9dBF09c25F1DCcB,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,1650000000
0x0317c78426ADA576A71527A7e9dBF09c25F1DCcB,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,56655725816503440
0x0321e89a7B9484f47e8CCD4daF97Ee8066783c04,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,56602492019048632
0x0347F0867b9B28a34fE6c044c4d48C2E5F71C528,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,198326182
0x03549D42bC2BA8B61F23D3959FFF2e40A4eAf3e4,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,150000000
0x035C84E918E9FBbDEd9D4Cc57c91a76716fc38FC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,1500000000
0x036863A5A05c5A7EbD2553824Cb040aAa2a6D687,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,4549648844004716032
0x037C29d38001032Adbb4c6454ae28aeeBFB48341,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,475514943057085568
0x039d70Db107B17eE45B952CB7684B04fa862EF4C,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,150000000
0x03aD3c9A5e770f718e362aecbdE730790b356D63,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,150000000
0x03af6Bc20d9a45BF4bdC157B7e0Ff8B1927Ea796,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,150000000
